"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2019","960.99","971.42","972.91","946.74","5.09M","-1.01%"
"11/01/2019","970.75","998.82","1,028.97","967.68","4.43M","-2.81%"
"10/01/2019","998.82","997.87","1,004.40","981.89","4.33M","0.23%"
"09/01/2019","996.56","984.79","1,004.17","967.14","3.52M","1.27%"
"08/01/2019","984.06","993.25","998.67","955.76","4.01M","-0.77%"
"07/01/2019","991.66","958.92","1,002.77","956.91","3.70M","4.39%"
"06/01/2019","949.94","953.58","967.11","938.95","3.27M","-1.04%"
"05/01/2019","959.88","978.81","992.84","944.91","3.53M","-2.02%"
"04/01/2019","979.64","980.76","1,000.02","959.33","3.15M","-0.11%"
"03/01/2019","980.76","971.05","1,014.51","964.76","4.60M","1.58%"
"02/01/2019","965.47","911.98","999.90","907.52","2.97M","6.02%"
"01/01/2019","910.65","900.10","920.36","861.85","2.98M","2.03%"
"12/01/2018","892.54","937.70","966.83","882.17","3.85M","-3.67%"
"11/01/2018","926.54","915.52","937.75","892.50","3.34M","1.29%"
"10/01/2018","914.76","1,019.49","1,024.68","880.85","4.52M","-10.06%"
"09/01/2018","1,017.13","990.79","1,020.84","955.50","3.86M","2.79%"
"08/01/2018","989.54","957.35","1,003.06","942.39","4.24M","3.47%"
"07/01/2018","956.39","955.18","959.07","884.75","3.81M","-0.46%"
"06/01/2018","960.78","973.67","1,045.60","941.57","3.54M","-1.08%"
"05/01/2018","971.25","1,053.26","1,084.20","916.00","3.86M","-7.52%"
"04/01/2018","1,050.26","1,180.26","1,211.34","1,031.89","4.20M","-10.58%"
"03/01/2018","1,174.46","1,121.54","1,187.42","1,091.67","5.19M","4.72%"
"02/01/2018","1,121.54","1,111.74","1,129.89","973.78","3.47M","1.01%"
"01/01/2018","1,110.36","986.05","1,130.10","984.34","6.21M","12.81%"
"12/01/2017","984.24","952.76","990.10","895.73","4.47M","3.61%"
"11/01/2017","949.93","838.75","960.11","831.58","5.11M","13.45%"
"10/01/2017","837.28","805.29","849.30","795.05","3.66M","4.08%"
"09/01/2017","804.42","784.42","810.35","784.18","3.16M","2.77%"
"08/01/2017","782.76","784.44","796.62","759.01","4.76M","-0.10%"
"07/01/2017","783.55","777.20","783.81","753.82","4.48M","0.91%"
"06/01/2017","776.47","739.45","776.50","736.09","4.64M","5.24%"
"05/01/2017","737.82","718.70","748.06","716.66","4.80M","2.80%"
"04/01/2017","717.73","723.02","732.87","705.55","3.50M","-0.63%"
"03/01/2017","722.31","710.70","726.67","705.79","4.50M","1.62%"
"02/01/2017","710.79","699.80","719.58","696.92","3.29M","1.94%"
"01/01/2017","697.28","665.92","697.28","665.43","1.69M","4.87%"
"12/01/2016","664.87","670.75","679.90","647.33","2.89M","-0.03%"
"11/01/2016","665.07","675.13","684.12","654.99","2.60M","-1.59%"
"10/01/2016","675.80","687.68","690.93","669.20","2.70M","-1.45%"
"09/01/2016","685.73","674.19","692.17","651.31","2.62M","1.65%"
"08/01/2016","674.63","655.38","679.62","622.14","2.71M","3.43%"
"07/01/2016","652.23","632.26","681.75","632.26","2.86M","3.16%"
"06/01/2016","632.26","618.18","637.46","597.68","2.80M","2.23%"
"05/01/2016","618.44","595.95","627.81","592.43","2.51M","3.35%"
"04/01/2016","598.37","560.64","601.79","554.30","2.66M","6.62%"
"03/01/2016","561.22","560.03","583.53","560.03","3.53M","0.33%"
"02/01/2016","559.37","545.27","573.63","530.23","1.90M","2.59%"
"01/01/2016","545.25","579.03","579.97","513.82","2.65M","-5.83%"
"12/01/2015","579.03","573.39","580.82","556.92","2.55M","1.02%"
"11/01/2015","573.20","607.93","617.93","571.12","2.80M","-5.63%"
"10/01/2015","607.37","563.39","608.01","561.73","2.63M","7.95%"
